# Traditional → Simplified Chinese codepoint mapping
# Generated by build_trad_simp_mapping.py from Unihan_Variants.txt
# Format: TRAD_HEX<TAB>SIMP_HEX
0x53E2	0x4E1B
0x53EA	0x53EA
0x53F0	0x53F0
0x53F6	0x53F6
0x53F7	0x53F7
0x5401	0x5401
0x5408	0x5408
0x540C	0x540C
0x540E	0x540E
0x5411	0x5411
0x5412	0x54A4
0x5413	0x5413
0x542C	0x542C
0x5433	0x5434
0x5434	0x5434
0x5436	0x5450
0x5442	0x5415
0x548F	0x548F
0x54A4	0x54A4
0x54B8	0x54B8
0x54BC	0x5459
0x54CD	0x54CD
0x54E1	0x5458
0x54EF	0x20BDF
0x5504	0x5457
0x550A	0x301D5
0x5513	0x2A833
0x551A	0x5423
0x553B	0x2BA81
0x554F	0x95EE
0x5553	0x542F
0x555E	0x54D1
0x555F	0x542F
0x5562	0x5521
0x5570	0x5570
0x558E	0x359E
0x559A	0x5524
0x55A1	0x2EC14
0x55AA	0x4E27
0x55AC	0x4E54
0x55AE	0x5355
0x55B2	0x54DF
0x55BD	0x55BD
0x55C6	0x545B
0x55C7	0x556C
0x55CA	0x551D
0x55CE	0x5417
0x55DA	0x545C
0x55E7	0x301E0
0x55E9	0x5522
0x55F6	0x54D4
0x55F9	0x2A84F
0x55FF	0x301F2
0x5604	0x2BAA7
0x5606	0x53F9
0x5607	0x301FC
0x560D	0x55BD
0x5613	0x556F
0x5614	0x5455
0x5616	0x5567
0x5617	0x5C1D
0x561C	0x551B
0x5629	0x54D7
0x562A	0x2A843
0x562E	0x5520
0x562F	0x5578
0x5630	0x53FD
0x5631	0x5631
0x5633	0x2A85E
0x5635	0x54D3
0x5638	0x5452
0x563A	0x2A840
0x563D	0x5574
0x5641	0x6076
0x5645	0x20BE0
0x5653	0x5618
0x565A	0x358A
0x565D	0x549D
0x565E	0x2A84B
0x5660	0x54D2
0x5665	0x54DD
0x5666	0x54D5
0x566F	0x55F3
0x5672	0x54D9
0x5674	0x55B7
0x5678	0x5428
0x5679	0x5F53
0x5680	0x549B
0x5682	0x30213
0x5687	0x5413
0x5688	0x2BA6B
0x568C	0x54DC
0x568D	0x2BA7A
0x5690	0x30207
0x5695	0x565C
0x5699	0x556E
0x569B	0x2A838
0x569D	0x2BA55
0x56A0	0x2D1EF
0x56A6	0x5456
0x56A7	0x20C37
0x56A8	0x5499
0x56A9	0x30236
0x56AA	0x2BAE6
0x56AB	0x3020D
0x56AC	0x2BAFE
0x56AE	0x5411
0x56B1	0x301E3
0x56B2	0x4EB8
0x56B3	0x55BE
0x56B4	0x4E25
0x56B6	0x5624
0x56B8	0x3020A
0x56BD	0x2A895
0x56BF	0x2BA65
0x56C0	0x556D
0x56C1	0x55EB
0x56C2	0x56A3
0x56C3	0x20C5E
0x56C5	0x5181
0x56C7	0x2BA83
0x56C8	0x5453
0x56C9	0x5570
0x56CB	0x30244
0x56CC	0x82CF
0x56D0	0x3022F
0x56D1	0x5631
0x56D2	0x2A8A0
0x56D5	0x30206
0x56DE	0x56DE
0x56EA	0x56F1
0x56ED	0x56ED
0x56F0	0x56F0
0x56FE	0x56FE
0x5707	0x56F5
0x570B	0x56FD
0x570D	0x56F4
0x5712	0x56ED
